[2025-05-24 08:36:13] IP: 192.168.170.24 | Page: /edpweb/hisBko/report.php?tanggalMulai=&tanggalSelesai=&jenisTransaksi=B&jenisLaporan=1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-24 08:36:28] IP: 192.168.170.24 | Page: /edpweb/hisBko/report.php?tanggalMulai=&tanggalSelesai=&jenisTransaksi=B&jenisLaporan=1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-24 08:37:14] IP: 192.168.170.24 | Page: /edpweb/hisBko/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-24 08:59:36] IP: 192.168.170.24 | Page: /edpweb/hisBko/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-24 08:59:38] IP: 192.168.170.24 | Page: /edpweb/Bko/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-24 09:01:33] IP: 192.168.170.24 | Page: /edpweb/Bko/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-24 09:01:44] IP: 192.168.170.24 | Page: /edpweb/Bko/report.php?tanggalMulai=2025-05-01&tanggalSelesai=2025-05-24&jenisTransaksi=B&jenisLaporan=1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-24 09:02:44] IP: 192.168.170.24 | Page: /edpweb/hisBko/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-24 09:02:45] IP: 192.168.170.24 | Page: /edpweb/hisBko/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-24 09:02:58] IP: 192.168.170.24 | Page: /edpweb/hisBko/report.php?tanggalMulai=2025-05-01&tanggalSelesai=2025-05-31&jenisTransaksi=All&jenisLaporan=1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
